Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
metropolitan,commercial,5712,29025,4,contemporary,medium,Non-Furnished,luxury,5424,1668,1160,381,167,164,140,232260409
metropolitan,commercial,3855,25219,4,contemporary,high,Non-Furnished,basic,3660,1608,1145,477,139,212,171,126529847
urban,commercial,10773,11766,3,contemporary,high,Non-Furnished,luxury,10233,1578,1125,563,91,214,199,235395183
metropolitan,residential,9336,49431,2,traditional,low,Non-Furnished,standard,8868,1540,1497,341,56,196,115,403155195
suburban,commercial,8733,2028,17,traditional,high,Non-Furnished,standard,8296,1696,1437,574,124,282,155,156463061
metropolitan,residential,11968,33830,3,contemporary,low,Furnished,luxury,11367,1660,1183,526,184,272,155,412068422
urban,commercial,9500,19892,19,modern,high,Non-Furnished,luxury,9025,1800,1024,543,157,176,137,415023468
suburban,commercial,11928,2321,8,contemporary,high,Furnished,basic,11328,1615,1422,475,60,160,111,119110108
rural,commercial,1572,842,10,modern,low,Furnished,standard,1490,1506,1359,476,57,173,187,13317275
urban,residential,4404,18077,3,contemporary,medium,Furnished,standard,4182,1702,1423,371,102,173,146,89494553
urban,residential,11695,11977,2,traditional,high,Non-Furnished,standard,11110,1678,1155,562,58,158,110,185778593
metropolitan,residential,11660,37803,3,traditional,high,Furnished,luxury,11076,1656,1258,488,50,185,175,538248238
rural,residential,10489,282,2,contemporary,high,Non-Furnished,standard,9964,1716,1194,541,199,205,159,47860478
rural,commercial,9346,769,15,contemporary,medium,Non-Furnished,standard,8865,1776,1061,551,138,212,179,121325477
metropolitan,residential,9440,44576,4,contemporary,low,Furnished,luxury,8968,1675,1426,370,91,232,147,415584291
rural,residential,2544,911,5,modern,medium,Furnished,standard,2415,1744,1287,521,149,154,144,15462784
suburban,commercial,6994,4786,28,modern,medium,Non-Furnished,basic,6636,1756,1248,475,190,200,190,144060352
metropolitan,commercial,11790,47339,12,traditional,high,Non-Furnished,standard,11196,1501,1357,587,163,263,164,817470242
urban,residential,11602,12504,4,traditional,low,Non-Furnished,standard,11020,1707,1074,344,189,207,131,159318161
metropolitan,commercial,8221,26202,21,modern,medium,Furnished,basic,7791,1630,1243,546,64,179,107,327157118
rural,commercial,11244,496,10,traditional,high,Non-Furnished,luxury,10680,1718,1415,560,85,205,132,137562075
rural,commercial,2889,686,25,modern,low,Furnished,standard,2725,1733,1006,364,192,196,148,35573185
metropolitan,residential,9708,33728,2,traditional,medium,Furnished,basic,9222,1524,1064,497,50,196,156,295230581
metropolitan,residential,7093,38271,2,modern,low,Furnished,basic,6738,1517,1291,549,88,195,117,219458193
metropolitan,commercial,4485,20259,20,traditional,low,Furnished,basic,4260,1614,1448,542,69,176,142,135369057
metropolitan,residential,1442,38742,1,traditional,low,Non-Furnished,standard,1369,1753,1009,400,54,217,186,49264503
suburban,residential,1620,4850,1,contemporary,high,Furnished,standard,1539,1651,1294,316,153,253,162,13700820
metropolitan,residential,10447,33706,2,contemporary,low,Furnished,standard,9924,1664,1333,567,185,249,110,323493247
urban,residential,9501,18532,4,modern,low,Non-Furnished,luxury,9024,1574,1411,593,142,203,118,203675660
urban,residential,9408,12759,2,modern,medium,Furnished,luxury,8936,1699,1376,493,79,256,124,159283850
urban,commercial,1543,5916,4,modern,low,Furnished,luxury,1464,1615,1212,483,86,226,190,18455822
urban,residential,5134,6174,2,traditional,high,Furnished,luxury,4876,1800,1151,470,90,243,186,58324966
rural,commercial,9716,980,19,contemporary,high,Furnished,basic,9215,1541,1232,547,59,171,166,146811392
urban,residential,5422,14447,1,modern,low,Furnished,luxury,5150,1575,1330,320,125,216,122,86909665
suburban,residential,3603,3704,1,traditional,low,Non-Furnished,basic,3422,1718,1317,485,147,261,158,19921968
urban,residential,7262,16602,3,traditional,medium,Furnished,luxury,6897,1637,1246,349,197,249,185,150964110
urban,residential,7736,16742,2,modern,medium,Furnished,luxury,7348,1695,1084,499,115,204,181,159651883
rural,commercial,8431,222,15,contemporary,low,Furnished,basic,7995,1602,1301,591,111,250,130,89359641
rural,residential,4948,785,3,contemporary,high,Non-Furnished,standard,4698,1520,1405,381,51,297,182,25230727
urban,commercial,8648,17449,4,modern,low,Furnished,luxury,8212,1575,1108,502,187,177,190,212058024
suburban,residential,2721,2499,3,contemporary,high,Non-Furnished,basic,2583,1746,1017,471,175,240,128,16919159
urban,commercial,7358,6444,29,modern,medium,Non-Furnished,basic,6989,1535,1086,344,192,163,137,137505033
urban,residential,8383,19421,1,traditional,medium,Furnished,basic,7963,1605,1133,564,200,262,184,157597978
suburban,residential,10185,4415,1,traditional,medium,Furnished,basic,9675,1553,1299,581,200,184,111,67502540
urban,residential,3944,8723,2,contemporary,medium,Furnished,luxury,3746,1796,1046,379,131,207,189,49479410
rural,commercial,7867,674,14,modern,medium,Furnished,luxury,7462,1564,1018,594,164,179,151,109965579
urban,commercial,10857,19962,11,contemporary,medium,Non-Furnished,basic,10307,1735,1172,302,200,297,137,284589730
urban,residential,2049,9215,4,modern,medium,Non-Furnished,standard,1944,1695,1320,338,171,294,192,25783371
rural,commercial,5918,569,5,contemporary,high,Non-Furnished,standard,5620,1537,1209,491,66,242,187,42808422
rural,commercial,8438,644,30,traditional,high,Non-Furnished,standard,8010,1666,1316,384,56,152,128,150386606
urban,residential,5252,8660,1,modern,high,Furnished,standard,4989,1710,1257,596,98,199,107,64767553
rural,commercial,8953,725,14,traditional,medium,Furnished,luxury,8498,1790,1130,514,114,276,118,117959696
urban,residential,4813,8449,3,contemporary,low,Non-Furnished,basic,4572,1732,1337,466,56,267,192,46249757
rural,commercial,11932,971,18,contemporary,high,Furnished,basic,11322,1625,1215,390,171,199,118,140732249
suburban,residential,7177,1321,4,modern,low,Non-Furnished,standard,6816,1732,1234,304,139,168,109,33064835
metropolitan,commercial,2272,43081,20,contemporary,low,Non-Furnished,luxury,2140,1772,1459,440,146,247,106,135792017
urban,residential,2450,5289,3,contemporary,low,Non-Furnished,standard,2325,1646,1279,382,184,276,168,19345411
metropolitan,residential,10928,29806,2,traditional,medium,Non-Furnished,basic,10380,1676,1343,377,146,180,161,299650401
rural,residential,9220,325,4,contemporary,medium,Furnished,luxury,8756,1776,1160,531,153,264,159,52050775
rural,commercial,1648,750,14,contemporary,low,Furnished,standard,1554,1526,1322,526,59,267,131,17775747
suburban,residential,8155,4416,3,traditional,high,Non-Furnished,basic,7746,1781,1390,351,52,155,119,63489790
rural,residential,2361,260,3,traditional,low,Non-Furnished,standard,2241,1745,1252,572,119,168,192,9921796
urban,commercial,11374,19281,13,contemporary,medium,Furnished,basic,10803,1703,1340,514,189,226,153,327609130
suburban,residential,11648,4358,4,traditional,high,Non-Furnished,luxury,11064,1540,1479,397,154,183,168,116872732
urban,residential,2282,15004,5,traditional,low,Furnished,standard,2165,1666,1174,462,197,242,109,37805965
rural,commercial,6999,412,6,modern,high,Furnished,basic,6648,1596,1102,380,109,250,165,43235315
suburban,commercial,10110,3273,13,traditional,high,Furnished,basic,9594,1754,1250,600,107,207,195,154819620
urban,residential,6316,18803,2,contemporary,medium,Furnished,luxury,6000,1525,1161,366,58,216,157,141024578
suburban,residential,2143,3114,5,contemporary,low,Furnished,standard,2035,1772,1017,529,144,175,185,15335252
urban,residential,8882,19586,1,traditional,high,Non-Furnished,basic,8437,1593,1370,557,90,265,141,185190645
metropolitan,residential,9634,34375,1,traditional,medium,Non-Furnished,luxury,9152,1759,1490,398,150,239,125,365557718
urban,residential,9014,13678,2,contemporary,low,Furnished,standard,8562,1636,1070,592,138,287,163,131408974
metropolitan,residential,6405,24591,1,contemporary,high,Furnished,basic,6084,1688,1251,589,89,300,106,162637514
suburban,commercial,10574,2587,4,contemporary,medium,Furnished,basic,10044,1522,1484,572,190,291,116,86108202
rural,residential,3123,995,4,traditional,low,Furnished,luxury,2964,1532,1308,535,112,283,106,17314903
urban,residential,4240,5391,4,traditional,low,Furnished,luxury,4028,1760,1298,562,171,258,152,41821160
urban,commercial,5841,18143,15,traditional,high,Furnished,basic,5535,1616,1489,516,118,222,101,183999494
urban,residential,1342,12962,1,contemporary,high,Furnished,standard,1274,1764,1258,595,154,199,168,22530251
metropolitan,commercial,10014,28397,12,modern,low,Furnished,luxury,9504,1555,1388,315,109,156,116,383956724
metropolitan,commercial,3910,27768,19,traditional,low,Non-Furnished,basic,3705,1663,1439,461,120,248,157,137626541
metropolitan,residential,4164,21152,1,contemporary,medium,Furnished,standard,3955,1595,1019,424,52,155,153,91672619
urban,residential,7506,12616,1,contemporary,high,Non-Furnished,standard,7130,1615,1384,521,127,209,183,122258827
metropolitan,residential,6699,26921,1,modern,medium,Furnished,standard,6364,1772,1452,357,143,201,121,185811293
metropolitan,residential,10096,25915,3,contemporary,low,Non-Furnished,standard,9591,1577,1460,426,124,190,132,248913477
rural,commercial,9861,257,16,modern,medium,Furnished,standard,9360,1571,1186,364,57,238,118,96280950
rural,commercial,11998,613,15,modern,high,Non-Furnished,luxury,11385,1631,1401,488,74,240,132,173415994
suburban,residential,2308,2550,1,traditional,high,Furnished,basic,2192,1770,1440,460,121,230,192,13642105
metropolitan,residential,9751,48034,1,modern,high,Non-Furnished,luxury,9263,1689,1495,529,125,285,152,553188977
rural,residential,8559,966,2,modern,high,Non-Furnished,basic,8130,1734,1142,446,69,203,198,38066133
urban,commercial,1680,7686,14,contemporary,medium,Furnished,basic,1596,1597,1368,423,86,284,123,27733338
metropolitan,residential,3202,42883,3,modern,low,Furnished,luxury,3039,1582,1185,421,105,187,153,134702426
suburban,commercial,11100,3313,27,modern,low,Non-Furnished,basic,10530,1533,1062,353,91,232,141,150888177
urban,residential,3813,12936,1,modern,low,Non-Furnished,standard,3622,1541,1032,544,84,218,174,50494438
urban,residential,6894,17019,3,contemporary,high,Non-Furnished,luxury,6549,1551,1074,386,152,273,170,158994552
suburban,commercial,8350,3454,10,traditional,low,Non-Furnished,standard,7930,1738,1449,455,193,234,132,93681898
suburban,residential,10749,3633,1,traditional,high,Furnished,standard,10211,1528,1036,364,126,253,109,73692171
rural,commercial,5986,304,17,traditional,medium,Non-Furnished,luxury,5678,1796,1184,505,69,182,146,84385375
metropolitan,residential,1892,25040,4,modern,high,Furnished,luxury,1796,1558,1457,415,156,273,173,62010292
metropolitan,residential,9826,41519,5,contemporary,high,Furnished,luxury,9330,1540,1056,443,141,278,196,500275062
suburban,residential,3250,4806,5,modern,low,Furnished,basic,3085,1720,1195,346,107,169,102,22793560
rural,residential,2521,689,2,contemporary,high,Non-Furnished,luxury,2394,1644,1380,358,120,188,132,12789095
metropolitan,residential,8391,39604,2,modern,high,Furnished,luxury,7970,1623,1386,513,172,263,200,403273158
urban,commercial,6816,19040,30,traditional,low,Furnished,basic,6450,1515,1484,546,117,258,116,230377325
rural,commercial,10135,918,17,contemporary,high,Non-Furnished,standard,9622,1719,1082,473,76,201,161,142586508
urban,residential,3842,18479,4,modern,high,Non-Furnished,basic,3648,1597,1055,448,190,186,198,79568064
urban,residential,4438,9251,2,contemporary,low,Non-Furnished,luxury,4216,1792,1063,306,185,212,159,51693062
urban,residential,10521,14812,4,traditional,high,Furnished,basic,9992,1645,1407,599,52,199,176,191857146
metropolitan,residential,9421,48322,3,modern,medium,Furnished,basic,8949,1556,1328,593,157,173,159,406625726
rural,commercial,9439,333,20,traditional,medium,Non-Furnished,basic,8960,1552,1362,523,59,176,139,125062013
suburban,commercial,7171,3086,17,modern,medium,Non-Furnished,basic,6800,1673,1172,434,95,246,141,93974468
metropolitan,residential,3985,42599,4,traditional,medium,Furnished,standard,3784,1798,1394,309,135,224,174,169808791
metropolitan,residential,10599,49305,1,contemporary,medium,Furnished,standard,10069,1699,1223,319,129,277,156,505234327
metropolitan,residential,7564,29661,4,traditional,medium,Non-Furnished,basic,7184,1536,1313,528,188,247,186,214210081
rural,commercial,3858,351,18,modern,medium,Non-Furnished,standard,3654,1502,1096,347,140,200,162,39054886
suburban,commercial,4208,3543,7,traditional,high,Furnished,standard,3997,1731,1067,380,166,175,116,46934000
suburban,commercial,7648,4527,14,traditional,medium,Furnished,luxury,7252,1729,1185,415,81,258,144,123286458
urban,commercial,9327,14296,7,modern,high,Furnished,luxury,8855,1725,1098,347,73,284,145,246162416
metropolitan,residential,1371,42820,4,contemporary,high,Non-Furnished,basic,1300,1569,1095,460,137,254,101,58094108
rural,residential,3513,388,2,traditional,high,Furnished,luxury,3336,1782,1345,536,145,202,170,18802320
suburban,commercial,11150,4462,19,modern,low,Non-Furnished,standard,10583,1643,1367,480,55,264,169,181454717
metropolitan,residential,6087,43461,5,traditional,low,Furnished,luxury,5780,1538,1500,497,88,250,122,266815227
urban,commercial,7394,17837,4,contemporary,low,Non-Furnished,standard,7024,1635,1342,365,188,210,106,164926438
urban,commercial,6556,10074,30,traditional,low,Non-Furnished,basic,6210,1729,1465,375,167,184,127,141411290
suburban,residential,5442,3103,3,contemporary,medium,Non-Furnished,luxury,5169,1652,1028,565,183,269,186,42370735
suburban,residential,7512,3107,3,modern,high,Furnished,standard,7134,1566,1253,455,104,291,130,56667629
urban,commercial,3198,5180,10,modern,medium,Furnished,luxury,3030,1661,1495,546,51,199,173,53377486
rural,residential,11092,457,2,modern,high,Non-Furnished,basic,10536,1680,1083,411,51,183,148,41757031
urban,residential,10338,12480,3,contemporary,high,Furnished,standard,9819,1634,1238,397,113,164,138,171664838
suburban,residential,3631,2014,5,traditional,medium,Non-Furnished,standard,3445,1542,1494,501,51,169,109,24781485
urban,residential,8023,10747,1,modern,medium,Furnished,standard,7621,1551,1155,394,117,188,158,102531815
urban,commercial,3330,18271,1,contemporary,high,Non-Furnished,luxury,3163,1588,1310,318,59,266,100,96309712
metropolitan,commercial,6369,27934,4,contemporary,low,Furnished,standard,6048,1502,1024,519,197,235,108,207149463
urban,commercial,9574,11840,9,modern,medium,Furnished,standard,9090,1584,1430,427,150,229,134,198646528
metropolitan,residential,10087,46739,1,traditional,medium,Non-Furnished,basic,9582,1561,1335,428,166,247,177,412257794
suburban,commercial,8490,3298,27,traditional,high,Furnished,basic,8046,1520,1200,523,155,251,168,183934770
urban,commercial,7777,19176,5,modern,medium,Furnished,standard,7385,1605,1290,396,180,186,118,208031661
metropolitan,commercial,7110,23591,3,contemporary,low,Non-Furnished,luxury,6753,1523,1069,415,62,192,187,214120643
suburban,commercial,10936,4095,10,contemporary,low,Furnished,standard,10380,1515,1417,575,85,271,180,139886457
metropolitan,commercial,5365,30894,21,contemporary,high,Furnished,standard,5082,1553,1454,580,67,287,134,297154840
urban,commercial,2035,19063,28,traditional,high,Furnished,basic,1932,1644,1154,316,81,159,164,67799796
rural,commercial,11191,817,14,contemporary,low,Non-Furnished,basic,10626,1636,1052,338,66,298,119,82970208
metropolitan,commercial,10862,30665,9,traditional,medium,Furnished,basic,10314,1683,1332,407,158,205,157,404133305
urban,residential,10819,11944,3,modern,high,Non-Furnished,luxury,10278,1609,1234,581,179,162,190,197996165
rural,commercial,7807,856,30,traditional,low,Non-Furnished,luxury,7410,1750,1366,395,74,212,104,131192648
urban,residential,7208,7715,5,contemporary,high,Non-Furnished,luxury,6845,1699,1363,573,90,282,174,108810053
urban,commercial,9314,11454,27,modern,high,Furnished,basic,8829,1643,1433,301,157,287,169,230629940
rural,residential,3498,380,5,modern,medium,Furnished,luxury,3320,1552,1350,499,113,243,132,20827152
metropolitan,commercial,8155,44526,25,traditional,medium,Non-Furnished,luxury,7725,1537,1449,509,64,160,176,589956075
metropolitan,commercial,3672,25875,4,modern,high,Furnished,basic,3488,1535,1288,324,87,266,115,121238551
rural,commercial,10282,890,16,traditional,medium,Furnished,basic,9760,1636,1146,525,194,207,149,122892149
metropolitan,residential,8149,48413,3,traditional,low,Non-Furnished,standard,7740,1757,1269,569,129,152,187,352166354
suburban,residential,10534,2826,5,modern,low,Non-Furnished,luxury,10005,1665,1426,587,50,241,167,84325578
metropolitan,commercial,2697,41847,3,traditional,high,Furnished,standard,2562,1686,1263,572,68,169,186,152433688
metropolitan,residential,3681,49126,5,contemporary,low,Non-Furnished,luxury,3495,1796,1292,503,168,211,142,180192441
metropolitan,residential,9168,24457,5,modern,high,Non-Furnished,basic,8705,1715,1000,305,125,221,146,236483727
rural,residential,4147,610,2,traditional,medium,Furnished,basic,3938,1786,1042,514,116,257,146,16272502
urban,commercial,5152,7197,15,modern,low,Furnished,basic,4890,1726,1463,571,178,297,115,87147081
suburban,residential,5784,1575,2,traditional,low,Non-Furnished,standard,5494,1775,1249,599,90,156,128,27831780
metropolitan,residential,6612,24314,2,traditional,high,Furnished,basic,6280,1735,1079,583,181,265,108,169083693
suburban,commercial,4743,3903,20,modern,low,Furnished,standard,4500,1534,1414,455,176,245,107,74704846
urban,commercial,5733,15999,22,contemporary,high,Non-Furnished,standard,5434,1552,1397,536,186,266,175,212030693
rural,commercial,3469,389,22,modern,high,Non-Furnished,luxury,3278,1598,1065,381,155,248,168,52476921
rural,commercial,7855,830,6,contemporary,medium,Furnished,luxury,7458,1668,1422,426,173,178,193,64383568
rural,residential,4335,612,2,traditional,low,Non-Furnished,standard,4118,1581,1488,303,107,214,187,16101676
suburban,commercial,9727,4596,23,traditional,medium,Non-Furnished,luxury,9223,1641,1500,523,76,174,172,228097471
metropolitan,commercial,1573,26360,16,traditional,medium,Furnished,basic,1488,1793,1376,460,190,228,184,57554146
suburban,commercial,7220,2122,16,traditional,medium,Non-Furnished,luxury,6848,1669,1278,521,169,249,164,116852555
rural,residential,4836,519,2,modern,high,Furnished,standard,4594,1502,1271,423,143,265,102,21481408
rural,residential,1881,902,4,modern,high,Non-Furnished,standard,1784,1667,1007,302,66,205,174,9321869
metropolitan,commercial,4254,44456,27,traditional,medium,Furnished,luxury,4023,1501,1364,436,170,255,138,303231434
suburban,commercial,3926,2000,14,modern,low,Furnished,luxury,3724,1663,1250,478,129,290,145,50012941
urban,residential,10044,13975,2,traditional,high,Furnished,basic,9540,1742,1427,310,184,243,135,162585935
rural,commercial,4266,836,18,modern,low,Furnished,basic,4050,1743,1314,566,77,178,187,52760748
suburban,commercial,7844,1488,24,contemporary,high,Furnished,standard,7440,1669,1122,414,110,177,192,133358701
rural,residential,10395,816,3,contemporary,low,Furnished,standard,9873,1634,1187,309,175,285,156,41982130
urban,residential,3970,16613,4,modern,medium,Furnished,standard,3768,1659,1103,481,56,286,143,77225309
urban,commercial,1826,19593,21,traditional,high,Non-Furnished,luxury,1722,1740,1021,417,66,150,160,74879777
rural,commercial,1251,672,7,traditional,low,Non-Furnished,standard,1183,1737,1056,492,65,239,113,8625230
urban,residential,6516,5330,4,traditional,high,Non-Furnished,basic,6188,1743,1105,462,149,277,172,60133189
suburban,commercial,1650,3410,20,traditional,high,Furnished,luxury,1560,1531,1202,577,129,171,134,38180001
urban,commercial,5742,14247,26,contemporary,medium,Furnished,standard,5434,1511,1459,306,85,274,105,158292415
rural,commercial,9788,778,21,contemporary,low,Non-Furnished,luxury,9282,1747,1338,488,105,262,158,148370825
urban,commercial,7360,10611,30,modern,low,Non-Furnished,standard,6990,1758,1040,474,137,292,195,199400394
suburban,residential,10507,1744,4,traditional,medium,Non-Furnished,standard,9980,1587,1291,349,85,180,186,58931737
suburban,commercial,7036,4333,22,traditional,low,Non-Furnished,standard,6666,1718,1123,512,193,212,181,127133021
urban,commercial,4195,5959,14,traditional,high,Furnished,basic,3976,1689,1143,521,134,293,155,73740549
suburban,commercial,4191,3087,15,contemporary,medium,Non-Furnished,standard,3975,1712,1116,595,52,268,140,67632721
urban,residential,8860,19414,4,contemporary,high,Non-Furnished,basic,8416,1788,1308,393,147,288,165,192762082
urban,residential,7856,11001,5,modern,medium,Furnished,luxury,7460,1727,1272,595,152,176,117,133418223
metropolitan,residential,3110,38896,5,contemporary,medium,Furnished,standard,2950,1777,1131,491,157,242,128,124579314
suburban,commercial,2834,3296,19,traditional,high,Furnished,standard,2679,1530,1132,584,98,290,136,57763367
metropolitan,residential,1672,41306,1,contemporary,medium,Non-Furnished,luxury,1588,1594,1366,520,144,234,190,74736937
urban,residential,4717,7214,2,modern,low,Non-Furnished,luxury,4480,1713,1249,384,137,266,122,47303935
urban,residential,10606,10926,1,traditional,medium,Furnished,basic,10075,1720,1141,323,119,162,198,124289283
metropolitan,residential,11324,39964,1,modern,low,Non-Furnished,basic,10757,1785,1335,524,50,257,190,362383765
metropolitan,residential,6522,22193,5,modern,medium,Furnished,standard,6195,1550,1113,418,63,212,150,159521417
metropolitan,residential,3026,32723,3,contemporary,high,Non-Furnished,standard,2874,1545,1232,527,129,159,167,111723836
metropolitan,commercial,5974,48824,29,modern,high,Non-Furnished,luxury,5655,1795,1136,549,66,255,151,533666839
metropolitan,residential,10626,45846,5,contemporary,low,Non-Furnished,standard,10090,1589,1368,591,143,215,187,447371687
suburban,commercial,5514,2077,20,traditional,low,Furnished,standard,5220,1657,1316,375,100,297,141,68385507
metropolitan,commercial,8770,49595,6,modern,high,Furnished,basic,8328,1571,1380,438,181,156,115,528890665
rural,commercial,1485,217,16,traditional,low,Non-Furnished,standard,1408,1716,1160,599,185,292,167,18584949
metropolitan,residential,8940,40042,2,traditional,medium,Non-Furnished,luxury,8492,1575,1410,538,146,156,136,392219177
urban,residential,6640,9150,5,traditional,medium,Furnished,luxury,6305,1503,1117,514,157,289,188,96817503
rural,commercial,10993,925,29,contemporary,medium,Furnished,standard,10440,1648,1071,465,133,172,141,202993017
rural,residential,10192,446,1,contemporary,low,Non-Furnished,basic,9682,1759,1253,397,51,238,120,30261888
rural,commercial,1214,888,25,contemporary,high,Non-Furnished,basic,1150,1570,1281,348,103,260,184,16324906
metropolitan,residential,8152,35611,1,modern,low,Non-Furnished,standard,7744,1721,1496,418,191,157,129,260936802
rural,commercial,2386,818,5,traditional,high,Non-Furnished,standard,2265,1621,1231,451,89,281,185,17879174
urban,residential,8582,8402,3,modern,medium,Non-Furnished,luxury,8151,1761,1461,368,63,207,162,109779536
metropolitan,commercial,4808,20013,23,modern,low,Furnished,luxury,4554,1656,1440,355,182,268,121,163933130
urban,residential,11602,17475,4,modern,low,Furnished,luxury,11020,1545,1180,371,146,254,169,227888219
urban,residential,10983,5774,2,traditional,low,Non-Furnished,basic,10432,1663,1373,573,171,161,160,81775582
urban,residential,6195,14747,1,modern,high,Non-Furnished,luxury,5885,1788,1164,417,131,167,120,123758489
urban,residential,4819,7095,1,modern,high,Non-Furnished,luxury,4578,1579,1261,586,155,193,175,56921296
urban,residential,1318,6905,1,contemporary,high,Non-Furnished,luxury,1252,1696,1034,313,146,175,155,14708663
suburban,commercial,8619,2895,11,traditional,high,Furnished,standard,8184,1542,1266,573,128,152,181,125680898
rural,commercial,11534,411,29,modern,high,Furnished,basic,10933,1642,1153,315,66,212,187,153044001
suburban,commercial,3492,1970,30,contemporary,medium,Non-Furnished,basic,3300,1598,1053,519,98,236,119,67818405
rural,residential,4929,1000,1,traditional,low,Non-Furnished,standard,4682,1557,1131,582,190,170,116,18198894
metropolitan,residential,6380,29692,5,traditional,medium,Furnished,luxury,6060,1776,1053,562,105,266,156,224857867
urban,commercial,10134,16133,4,modern,high,Non-Furnished,luxury,9624,1503,1187,446,63,239,109,280182236
metropolitan,residential,5942,38281,2,modern,low,Furnished,luxury,5644,1597,1486,524,105,246,181,226406891
metropolitan,commercial,3555,38382,15,traditional,medium,Furnished,luxury,3375,1554,1368,439,70,155,118,205661852
rural,residential,10260,385,1,modern,medium,Non-Furnished,luxury,9747,1556,1486,437,139,191,191,42508719
metropolitan,commercial,4344,36852,28,traditional,medium,Furnished,standard,4116,1613,1188,591,195,179,115,266049281
suburban,commercial,7267,2759,27,traditional,medium,Furnished,luxury,6885,1546,1339,483,191,245,159,162340368
metropolitan,residential,11625,34785,2,contemporary,high,Non-Furnished,luxury,11042,1559,1187,408,170,223,174,490015197
urban,residential,5967,19788,1,traditional,high,Furnished,standard,5668,1512,1084,368,157,283,172,137243987
rural,residential,3974,466,1,traditional,high,Non-Furnished,luxury,3775,1560,1463,572,67,281,200,19048470
metropolitan,commercial,4864,33385,24,modern,low,Furnished,standard,4608,1577,1274,467,55,186,153,227009121
suburban,commercial,11787,2497,20,contemporary,low,Non-Furnished,basic,11180,1608,1247,565,108,238,110,171769758
urban,commercial,11678,7148,20,modern,low,Non-Furnished,standard,11080,1691,1127,472,127,257,147,222924699
metropolitan,commercial,8328,44746,19,traditional,high,Furnished,basic,7904,1509,1331,503,118,279,145,517980807
urban,commercial,11126,5022,15,contemporary,medium,Non-Furnished,basic,10560,1518,1393,436,78,276,196,159870478
rural,residential,11314,420,1,modern,high,Furnished,basic,10748,1753,1116,490,71,284,134,41641331
suburban,commercial,6822,3224,23,traditional,high,Non-Furnished,basic,6463,1654,1350,593,88,206,187,144473861
suburban,residential,3489,2082,1,modern,medium,Furnished,luxury,3314,1623,1348,547,165,279,183,21074191
suburban,residential,5440,4084,3,traditional,low,Non-Furnished,standard,5166,1718,1036,508,80,285,193,38231785
rural,commercial,1920,563,1,modern,high,Furnished,luxury,1824,1672,1289,374,183,292,156,11218155
urban,commercial,1366,15794,17,contemporary,high,Furnished,basic,1292,1678,1365,598,61,226,163,42802704
urban,residential,8559,8831,3,contemporary,high,Non-Furnished,standard,8130,1703,1235,307,69,179,160,109172486
metropolitan,residential,2214,21689,2,traditional,high,Furnished,standard,2102,1541,1409,449,132,290,108,56841704
rural,commercial,6189,300,20,modern,medium,Non-Furnished,basic,5860,1631,1456,431,147,214,100,72429568
metropolitan,commercial,10233,44565,24,contemporary,low,Furnished,luxury,9720,1705,1132,542,186,189,184,670701154
urban,commercial,8960,12404,27,modern,low,Non-Furnished,basic,8505,1750,1019,561,91,254,197,238899490
rural,commercial,7603,720,10,contemporary,low,Non-Furnished,basic,7220,1614,1109,552,178,162,155,61089204
urban,commercial,11430,17086,30,modern,low,Non-Furnished,basic,10830,1625,1308,491,80,214,170,348923075
metropolitan,residential,2762,29805,1,contemporary,low,Non-Furnished,basic,2623,1695,1024,335,97,252,171,66846392
urban,residential,11215,9805,5,modern,high,Non-Furnished,basic,10650,1627,1141,559,154,285,123,156098142
rural,residential,4136,625,4,traditional,medium,Non-Furnished,standard,3928,1798,1037,579,126,272,133,22413506
rural,commercial,8493,640,6,contemporary,low,Non-Furnished,standard,8064,1723,1249,337,78,261,188,49457295
suburban,commercial,9205,3468,7,traditional,low,Non-Furnished,basic,8743,1605,1374,495,175,286,166,83526520
rural,commercial,5038,893,29,contemporary,low,Furnished,standard,4785,1689,1243,570,179,224,117,99500088
suburban,commercial,2790,2983,18,modern,high,Furnished,standard,2646,1730,1154,474,152,196,135,48418728
urban,residential,2208,16395,2,contemporary,low,Furnished,luxury,2096,1615,1226,531,173,299,153,40798194
metropolitan,residential,3932,46415,2,traditional,low,Furnished,basic,3734,1636,1108,517,87,211,110,144581949
suburban,commercial,9898,3736,4,traditional,low,Non-Furnished,luxury,9400,1800,1454,309,125,276,138,91749913
metropolitan,residential,11565,41829,1,traditional,medium,Non-Furnished,standard,10986,1617,1171,428,70,184,151,471179421
urban,commercial,4422,7527,2,contemporary,low,Non-Furnished,luxury,4200,1672,1373,419,75,231,154,56110717
urban,commercial,7904,13299,27,modern,low,Furnished,basic,7506,1547,1322,574,128,195,147,219964356
suburban,commercial,5430,4285,1,contemporary,medium,Non-Furnished,basic,5158,1728,1473,339,134,191,124,43404383
rural,residential,9872,292,5,traditional,high,Non-Furnished,luxury,9375,1696,1170,442,154,251,158,60709842
urban,commercial,9025,14417,18,modern,high,Furnished,luxury,8568,1598,1229,511,106,220,157,316196226
